Episode,Reward,Steps,Epsilon,Loss
0,-340.825,53,0.995,0
1,-3183.0,131,0.990025,0
2,-1702.2749999999999,99,0.985074875,0
3,-1273.525,87,0.9801495006250001,0
4,-522.5,61,0.9752487531218751,0
5,-59.775000000000006,37,0.9703725093562657,0
6,-2354.775,114,0.9655206468094844,0
7,-1504.075,93,0.960693043575437,0
8,-99.49999999999997,40,0.9558895783575597,0
9,-274.375,50,0.9511101304657719,0
10,-1098.775,82,0.946354579813443,0
11,-1837.9,102,0.9416228069143757,0
12,-846.7,73,0.9369146928798039,0
13,-29.5,35,0.9322301194154049,0
14,-1994.25,106,0.9275689688183278,0
15,-1390.25,90,0.9229311239742362,0
16,-2200.25,110,0.918316468354365,0
17,-589.6499999999999,64,0.9137248860125932,0
18,-1344.65,89,0.9091562615825302,0
19,-1260.25,86,0.9046104802746175,0
20,-18.275000000000006,34,0.9000874278732445,0
21,-4234.0,150,0.8955869907338783,0
22,-1630.025,97,0.8911090557802088,0
23,-2261.15,112,0.8866535105013078,0
24,-1645.9,97,0.8822202429488013,0
25,-271.5,50,0.8778091417340573,0
26,-1641.025,97,0.8734200960253871,0
27,-111.5,41,0.8690529955452602,0
28,-3264.9,132,0.8647077305675338,0
29,23.875,31,0.8603841919146962,0
30,-675.275,67,0.8560822709551227,0
31,-469.5249999999999,59,0.851801859600347,0
32,-156.89999999999998,44,0.8475428503023453,0
33,-2171.1249999999995,110,0.8433051360508336,0
34,-1857.65,102,0.8390886103705794,0
35,-503.625,61,0.8348931673187264,0
36,-3048.2000000000003,128,0.8307187014821328,0
37,-849.2,73,0.8265651079747222,0
38,-1003.0250000000001,79,0.8224322824348486,0
39,-2086.4500000000003,108,0.8183201210226743,0
40,-628.0,66,0.8142285204175609,0
41,-2741.15,122,0.810157377815473,0
42,-913.0,76,0.8061065909263957,0
43,-324.95,53,0.8020760579717637,0
44,-246.52499999999998,49,0.798065677681905,0
45,-242.825,48,0.7940753492934954,0
46,-2222.375,111,0.7901049725470279,0
47,-3438.5,136,0.7861544476842928,0
48,-679.15,67,0.7822236754458713,0
49,-1077.625,81,0.778312557068642,0
50,-994.825,78,0.7744209942832988,0
51,-1704.2,98,0.7705488893118823,0
52,-3340.025,134,0.7666961448653229,0
53,-718.0249999999999,69,0.7628626641409962,0
54,-1011.7750000000001,79,0.7590483508202912,0
55,-1325.825,88,0.7552531090661897,0
56,-861.1500000000001,74,0.7514768435208588,0
57,-98.99999999999997,40,0.7477194593032545,0
58,-422.275,57,0.7439808620067382,0
59,-5419.700000000001,168,0.7402609576967045,0
60,-661.15,67,0.736559652908221,0
61,-1837.4,102,0.7328768546436799,0
62,-408.75,56,0.7292124703704616,0
63,-1854.4,102,0.7255664080186093,0
64,-898.5000000000001,75,0.7219385759785162,0
65,-534.15,62,0.7183288830986236,0
66,0.799999999999983,33,0.7147372386831305,0
67,-1040.125,80,0.7111635524897149,0
68,-2313.7000000000003,113,0.7076077347272662,0
69,-2354.4999999999995,115,0.7040696960536299,0
70,-1728.65,99,0.7005493475733617,0
71,-660.15,67,0.697046600835495,0
72,-983.95,78,0.6935613678313175,0
73,-1026.775,79,0.6900935609921609,0
74,-1559.75,95,0.6866430931872001,0
75,-2344.3999999999996,114,0.6832098777212641,0
76,10.599999999999994,32,0.6797938283326578,0
77,-654.9,67,0.6763948591909945,0
78,-1238.25,86,0.6730128848950395,0
79,-291.375,50,0.6696478204705644,0
80,-920.625,76,0.6662995813682115,0
81,-6252.375,181,0.6629680834613705,0
82,-831.2,73,0.6596532430440636,0
83,-3233.4,132,0.6563549768288433,0
84,-1677.825,98,0.653073201944699,0
85,-128.65,42,0.6498078359349755,0
86,-4321.375000000001,151,0.6465587967553006,0
87,-2454.875,116,0.6433260027715241,0
88,-248.95,48,0.6401093727576664,0
89,-2923.9999999999995,126,0.6369088258938781,0
90,-1048.75,80,0.6337242817644086,0
91,-571.5249999999999,64,0.6305556603555866,0
92,-1202.5,85,0.6274028820538087,0
93,-3776.025,142,0.6242658676435396,0
94,-615.375,65,0.6211445383053219,0
95,-150.575,43,0.6180388156137953,0
96,-1109.9,82,0.6149486215357263,0
97,-97.37499999999997,40,0.6118738784280476,0
98,-3198.0249999999996,132,0.6088145090359074,0
99,-1272.025,87,0.6057704364907278,0
100,-1709.525,99,0.6027415843082742,0
101,-1312.825,88,0.5997278763867329,0
102,-2378.9999999999995,115,0.5967292370047992,0
103,-4180.9,149,0.5937455908197752,0
104,-3547.9500000000003,138,0.5907768628656763,0
105,-2361.4,114,0.5878229785513479,0
106,-932.75,76,0.5848838636585911,0
107,-644.125,66,0.5819594443402982,0
108,-4562.875000000001,155,0.5790496471185967,0
109,-1895.075,103,0.5761543988830038,0
110,-5121.400000000001,164,0.5732736268885887,0
111,-1131.45,83,0.5704072587541458,0
112,-2588.9,119,0.567555222460375,0
113,-2586.15,119,0.5647174463480732,0
114,-260.65,49,0.5618938591163328,0
115,-3712.0,141,0.5590843898207511,0
116,-3784.15,142,0.5562889678716474,0
117,-338.575,53,0.5535075230322891,0
118,-665.275,67,0.5507399854171277,0
119,-649.25,66,0.547986285490042,0
120,-1349.025,89,0.5452463540625918,0
121,-3028.9500000000003,128,0.5425201222922789,0
122,-222.15,47,0.5398075216808175,0
