Episode,Reward,Steps,Epsilon,Loss,Done
356,-50515.47087378633,319,0.16704744067563246,6173082.31640625,True
357,-27401.529126213507,236,0.1662122034722543,4344441.4951171875,True
358,-78480.52427184508,397,0.16538114245489302,8610421.1171875,True
359,-45827.41747572813,304,0.16455423674261854,6616917.211425781,True
360,-19279.524271844646,198,0.16373146555890544,5055495.258300781,True
361,-19436.10679611652,199,0.16291280823111093,4201301.635253906,True
362,-38434.975728155296,279,0.16209824418995536,7307252.44140625,True
363,-32934.1019417475,258,0.16128775296900558,6164958.576660156,True
364,-14068.432038834962,170,0.16048131420416054,3628731.76171875,True
365,-57680.26213592232,341,0.15967890763313974,7546734.734863281,True
366,-8352.635922330099,132,0.15888051309497406,3620696.7387695312,True
367,-37773.92718446603,276,0.1580861105294992,6714782.554199219,True
368,-18600.606796116495,195,0.1572956799768517,4214610.1474609375,True
369,-31324.655339805813,252,0.15650920157696743,5866425.9306640625,True
370,-61151.184466019295,351,0.1557266555690826,7249781.116699219,True
371,-26557.14077669901,232,0.1549480222912372,5057216.166015625,True
372,-38229.053398058204,278,0.15417328217978102,6223003.958496094,True
373,-31342.09223300967,252,0.1534024157688821,6352007.34375,True
374,-79653.69902912618,400,0.1526354036900377,9636254.672363281,False
375,-79696.93689320382,400,0.1518722266715875,8495758.340332031,False
376,-12250.043689320411,159,0.15111286553822956,3566073.564453125,True
377,-79712.19417475729,400,0.15035730121053842,8999547.06640625,False
378,-6129.616504854372,114,0.14960551470448571,2959827.2119140625,True
379,-62647.810679611845,355,0.14885748713096328,8516218.967285156,True
380,-43925.626213592295,298,0.14811319969530845,7043029.288574219,True
381,-36137.49029126209,270,0.1473726336968319,5446646.1591796875,True
382,-31214.538834951472,251,0.14663577052834775,5505418.797363281,True
383,-27424.082524271904,236,0.14590259167570602,5848942.87109375,True
384,-55702.97572815526,335,0.1451730787173275,7822229.492675781,True
385,-8504.174757281546,133,0.14444721332374086,2942002.6069335938,True
386,-79683.8786407767,400,0.14372497725712216,9141825.541503906,False
387,-79624.65048543696,400,0.14300635237083656,10151893.299804688,False
388,-79725.28155339796,400,0.14229132060898236,10195106.680664062,False
389,-59173.75728155339,345,0.14157986400593744,9227713.440429688,True
390,-49362.65533980573,315,0.14087196468590776,8100689.286621094,True
391,-79669.83009708718,400,0.14016760486247823,9754227.138671875,False
392,-16534.83009708737,184,0.13946676683816583,4765921.158691406,True
393,-79656.72815534005,400,0.138769433003975,9922095.021972656,False
394,-34460.354368931985,264,0.13807558583895513,6590826.3017578125,True
395,-36993.504854369,273,0.13738520790976036,6022313.6787109375,True
396,-53703.1844660194,329,0.13669828187021155,8469768.791992188,True
397,-43144.75728155343,295,0.13601479046086049,7151834.2939453125,True
398,-22875.985436893217,216,0.1353347165085562,5418239.353027344,True
399,-7581.733009708742,126,0.1346580429260134,3513508.2446289062,True
400,-59893.199029126314,347,0.13398475271138335,9960429.859863281,True
401,-79795.64563106782,400,0.13331482894782642,10284869.244140625,False
402,-13603.927184466016,167,0.13264825480308728,4085939.8618164062,True
403,-63967.29611650493,359,0.13198501352907185,7793618.608886719,True
404,-28655.558252427083,241,0.1313250884614265,5992018.552246094,True
405,-79510.81067961198,400,0.13066846301911936,8894795.545410156,False
406,-6177.257281553396,115,0.13001512070402377,2524287.5869140625,True
407,-7433.286407767006,125,0.12936504510050365,2701679.79296875,True
408,-33629.9077669904,261,0.12871821987500112,6641829.216308594,True
409,-47312.65048543697,309,0.12807462877562611,7674889.03515625,True
410,-25097.300970873748,226,0.12743425563174798,6248016.055175781,True
411,-79791.39805825242,400,0.12679708435358925,9360609.753417969,False
412,-52364.08737864075,325,0.1261630989318213,10426787.286132812,True
413,-57718.368932038786,341,0.1255322834371622,7742327.6357421875,True
414,-16224.689320388354,182,0.12490462201997637,4105597.2255859375,True
415,-14101.223300970887,170,0.1242800989098765,5477286.278808594,True
416,-23172.22330097086,217,0.12365869841532712,5231567.525878906,True
417,-23852.55339805821,220,0.12304040492325048,6311270.213378906,True
418,-79776.28155339799,400,0.12242520289863423,10699349.570800781,False
419,-34454.00485436888,264,0.12181307688414106,6621077.298828125,True
420,-79669.0485436895,400,0.12120401149972035,10851341.624023438,False
