Episode,Reward,Steps,Epsilon,Loss
0,26.0,80,0.995,0
1,20.0,47,0.990025,0
2,12.375,48,0.985074875,0
3,-5.625,93,0.9801495006250001,0
4,15.75,54,0.9752487531218751,0
5,5.5,76,0.9703725093562657,0
6,20.25,45,0.9655206468094844,0
7,6.375,28,0.960693043575437,0
8,16.75,59,0.9558895783575597,0
9,16.125,42,0.9511101304657719,0
10,4.125,101,0.946354579813443,0
11,9.375,40,0.9416228069143757,0
12,29.25,63,0.9369146928798039,0
13,1.0,87,0.9322301194154049,0
14,15.5,63,0.9275689688183278,0
15,13.125,65,0.9229311239742362,0
16,14.375,58,0.918316468354365,0
17,1.875,92,0.9137248860125932,0
18,27.5,73,0.9091562615825302,0
19,10.5,49,0.9046104802746175,0
20,26.875,78,0.9000874278732445,0
21,14.0,61,0.8955869907338783,0
22,14.625,47,0.8911090557802088,0
23,21.875,70,0.8866535105013078,0
24,21.5,60,0.8822202429488013,0
25,-15.375,72,0.8778091417340573,0
26,20.25,60,0.8734200960253871,0
27,0.75,139,0.8690529955452602,0
28,13.75,126,0.8647077305675338,0
29,15.0,79,0.8603841919146962,0
30,10.25,77,0.8560822709551227,0
31,9.0,78,0.851801859600347,0
32,14.75,56,0.8475428503023453,0
33,16.0,56,0.8433051360508336,0
34,12.125,54,0.8390886103705794,0
35,14.5,74,0.8348931673187264,0
36,15.375,102,0.8307187014821328,0
37,15.75,54,0.8265651079747222,0
38,4.375,93,0.8224322824348486,0
39,24.25,50,0.8183201210226743,0
40,40.375,137,0.8142285204175609,0
41,12.25,94,0.810157377815473,0
42,25.0,122,0.8061065909263957,0
43,19.875,64,0.8020760579717637,0
44,22.75,69,0.798065677681905,0
45,19.25,61,0.7940753492934954,0
46,10.125,58,0.7901049725470279,0
47,10.0,40,0.7861544476842928,0
48,23.875,98,0.7822236754458713,0
49,8.75,47,0.778312557068642,0
50,17.875,50,0.7744209942832988,0
51,26.75,217,0.7705488893118823,0
52,28.25,72,0.7666961448653229,0
53,1.25,75,0.7628626641409962,0
54,11.375,83,0.7590483508202912,0
55,28.0,82,0.7552531090661897,0
56,17.75,52,0.7514768435208588,0
57,18.75,55,0.7477194593032545,0
58,34.0,62,0.7439808620067382,0
