Episode,Reward,Steps,Epsilon,Loss,Done
0,10.681082470700211,46,0.995,0.0,True
1,11.475033400128023,36,0.990025,17.680160312913358,True
2,10.34476527323754,44,0.985074875,69.62315326184034,True
3,6.934774759985151,64,0.9801495006250001,93.76553291082382,True
4,7.631380056751778,60,0.9752487531218751,61.22709783539176,True
5,8.611812441152228,50,0.9703725093562657,45.21893851459026,True
6,8.724757352481085,53,0.9655206468094844,65.0352895706892,True
7,5.002088348932522,206,0.960693043575437,176.74279268365353,True
8,7.445528040946864,73,0.9558895783575597,41.74363423092291,True
9,7.592840582133217,81,0.9511101304657719,34.48668069578707,True
10,5.893455724397857,89,0.946354579813443,40.18387744342908,True
11,10.057951838312782,52,0.9416228069143757,17.407685620244592,True
12,8.327031807666273,56,0.9369146928798039,19.19912543706596,True
13,9.306875348879919,58,0.9322301194154049,24.931765969842672,True
14,10.263071609476496,42,0.9275689688183278,21.054068609606475,True
15,5.777498230552611,98,0.9229311239742362,36.769404732622206,True
16,7.46619356506497,61,0.918316468354365,17.00510270264931,True
17,8.750322343882223,47,0.9137248860125932,14.073359265457839,True
18,5.290266869417269,120,0.9091562615825302,40.02899004146457,True
19,5.805387989933679,80,0.9046104802746175,24.764906041091308,True
20,11.08692831173807,40,0.9000874278732445,9.069638442946598,True
21,9.982276823617312,47,0.8955869907338783,13.441392969340086,True
22,7.75973866935275,60,0.8911090557802088,14.06706170225516,True
23,6.49067635171762,66,0.8866535105013078,13.770368477096781,True
24,10.514093058682265,44,0.8822202429488013,9.694250295870006,True
25,8.347806330396937,55,0.8778091417340573,11.02505914773792,True
26,4.5830063215959385,93,0.8734200960253871,22.12859702343121,True
27,12.156373120049526,39,0.8690529955452602,7.240475577302277,True
28,20.068621963950196,21,0.8647077305675338,3.7854953561909497,True
29,7.427228192163012,68,0.8603841919146962,15.588502012193203,True
30,5.298253216473361,78,0.8560822709551227,21.527626403607428,True
31,5.308955466032126,88,0.851801859600347,29.044718951452523,True
32,6.334116688509734,91,0.8475428503023453,26.340165805304423,True
33,9.838055594391395,53,0.8433051360508336,17.653966651763767,True
34,13.474281301901655,33,0.8390886103705794,7.030760535039008,True
35,15.731646239633061,28,0.8348931673187264,3.8211667938157916,True
36,9.067363862244857,48,0.8307187014821328,14.01434535998851,True
37,13.936715024882918,35,0.8265651079747222,12.701809789752588,True
38,5.358965861846986,124,0.8224322824348486,38.982174317352474,True
39,4.6480831684116675,92,0.8183201210226743,31.728190628811717,True
40,6.886007173948458,65,0.8142285204175609,11.723450432065874,True
41,4.23518594037111,102,0.810157377815473,21.613182238303125,True
42,12.372812822679657,35,0.8061065909263957,12.98226181184873,True
43,4.562559689090427,122,0.8020760579717637,21.244365251390263,True
44,8.765933741784156,55,0.798065677681905,11.51593239873182,True
45,7.017656513898363,64,0.7940753492934954,13.41690964763984,True
46,9.40597346569001,47,0.7901049725470279,11.139936791267246,True
47,9.87199160117778,52,0.7861544476842928,5.311139955651015,True
48,6.337691068495728,92,0.7822236754458713,17.88750183058437,True
49,5.238284511615489,105,0.778312557068642,28.299265759065747,True
50,8.640749305980263,62,0.7744209942832988,12.657270956318825,True
51,12.641268829666732,35,0.7705488893118823,10.236194524681196,True
52,6.955198418587259,67,0.7666961448653229,9.8833935582079,True
53,5.462123424014511,126,0.7628626641409962,25.643676210893318,True
54,11.393028921325612,42,0.7590483508202912,5.329290425637737,True
55,3.658085321809931,140,0.7552531090661897,28.520775401731953,True
56,10.082870639274725,44,0.7514768435208588,16.89583065843908,True
57,7.774679395390765,69,0.7477194593032545,11.754016829887405,True
58,6.100471469026962,67,0.7439808620067382,9.465593104949221,True
59,9.821579832755958,52,0.7402609576967045,9.592588651459664,True
60,6.511056466369304,81,0.736559652908221,14.668704725103453,True
