Episode,Step,State,Q_values,Action
0,20,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,21,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,22,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,23,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,24,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,25,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,26,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,27,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,28,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,29,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,30,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,31,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,32,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,33,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,34,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,35,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,36,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,37,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,38,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,39,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,40,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,41,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,42,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,43,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,44,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,45,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,46,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,47,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,48,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,49,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
